v8-version,6,0,287,53,0
code-creation,Stub,3,5136,0x3a8437e2a900,2286,"RecordWriteStub"
code-creation,Stub,17,5142,0x3a8437e2b200,300,"BinaryOpICStub"
code-creation,Handler,4,5147,0x3a8437e2b340,340,"An IC handler from the snapshot"
code-creation,Stub,17,5153,0x3a8437e2b4a0,240,"BinaryOpICStub"
code-creation,Stub,3,5159,0x3a8437e2b5a0,2286,"RecordWriteStub"
code-creation,Stub,3,5164,0x3a8437e2bea0,2327,"RecordWriteStub"
code-creation,Stub,3,5170,0x3a8437e2c7c0,2289,"RecordWriteStub"
code-creation,Stub,3,5176,0x3a8437e2d0c0,2286,"RecordWriteStub"
code-creation,Stub,3,5181,0x3a8437e2d9c0,1010,"RecordWriteStub"
code-creation,Stub,17,5187,0x3a8437e2ddc0,228,"BinaryOpICStub"
code-creation,Stub,17,5193,0x3a8437e2dec0,439,"BinaryOpICStub"
code-creation,Handler,4,5198,0x3a8437e2e080,720,"An IC handler from the snapshot"
code-creation,Stub,3,5206,0x3a8437e2e360,2323,"RecordWriteStub"
code-creation,Handler,4,5213,0x3a8437e2ec80,328,"An IC handler from the snapshot"
code-creation,Stub,17,5219,0x3a8437e2ede0,487,"BinaryOpICStub"
code-creation,Stub,3,5225,0x3a8437e2efe0,503,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,5231,0x3a8437e2f1e0,2286,"RecordWriteStub"
code-creation,Stub,3,5237,0x3a8437e2fae0,221,"DoubleToIStub"
code-creation,Stub,3,5243,0x3a8437e2fbc0,2282,"RecordWriteStub"
code-creation,Stub,3,5248,0x3a8437e304c0,2301,"RecordWriteStub"
code-creation,Stub,3,5254,0x3a8437e30dc0,331,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,5260,0x3a8437e30f20,343,"ArrayNoArgumentConstructorStub"
code-creation,Stub,17,5265,0x3a8437e31080,455,"BinaryOpICStub"
code-creation,Stub,3,5271,0x3a8437e31260,2323,"RecordWriteStub"
code-creation,Stub,17,5278,0x3a8437e31b80,304,"BinaryOpICStub"
code-creation,Stub,17,5284,0x3a8437e31cc0,308,"BinaryOpICStub"
code-creation,Stub,3,5291,0x3a8437e31e00,2307,"RecordWriteStub"
code-creation,Stub,17,5297,0x3a8437e32720,459,"BinaryOpICStub"
code-creation,Stub,3,5303,0x3a8437e32900,503,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,5309,0x3a8437e32b00,1012,"RecordWriteStub"
code-creation,Stub,3,5314,0x3a8437e32f00,2302,"RecordWriteStub"
code-creation,Stub,3,5335,0x3a8437e33800,2286,"RecordWriteStub"
code-creation,Stub,17,5342,0x3a8437e34100,228,"BinaryOpICStub"
code-creation,Stub,3,5349,0x3a8437e34200,647,"StringAddStub"
code-creation,Stub,17,5355,0x3a8437e344a0,173,"BinaryOpICStub"
code-creation,Stub,3,5361,0x3a8437e34560,2261,"RecordWriteStub"
code-creation,Stub,3,5367,0x3a8437e34e40,2286,"RecordWriteStub"
code-creation,Stub,17,5373,0x3a8437e35740,272,"BinaryOpICStub"
code-creation,Stub,3,5379,0x3a8437e35860,2270,"RecordWriteStub"
code-creation,Stub,17,5384,0x3a8437e36140,459,"BinaryOpICStub"
code-creation,Stub,3,5390,0x3a8437e36320,2298,"RecordWriteStub"
code-creation,Stub,17,5396,0x3a8437e36c20,272,"BinaryOpICStub"
code-creation,Handler,4,5402,0x3a8437e36d40,720,"An IC handler from the snapshot"
code-creation,Stub,3,5407,0x3a8437e37020,2308,"RecordWriteStub"
code-creation,Stub,17,5413,0x3a8437e37940,483,"BinaryOpICStub"
code-creation,Stub,3,5418,0x3a8437e37b40,2295,"RecordWriteStub"
code-creation,Stub,17,5424,0x3a8437e38440,248,"BinaryOpICStub"
code-creation,Stub,3,5430,0x3a8437e38540,397,"CEntryStub"
code-creation,Stub,17,5437,0x3a8437e386e0,455,"BinaryOpICStub"
code-creation,Stub,3,5461,0x3a8437e388c0,2270,"RecordWriteStub"
tick,0x7fff64b552c2,5479,0,0x0,4
code-creation,Stub,3,5503,0x3a8437e391a0,2274,"RecordWriteStub"
code-creation,Stub,17,5514,0x3a8437e39aa0,308,"BinaryOpICStub"
code-creation,Stub,17,5521,0x3a8437e39be0,240,"BinaryOpICStub"
code-creation,Stub,3,5527,0x3a8437e39ce0,1448,"RecordWriteStub"
code-creation,Stub,17,5533,0x3a8437e3a2a0,300,"BinaryOpICStub"
code-creation,Stub,3,5539,0x3a8437e3a3e0,1014,"RecordWriteStub"
code-creation,Stub,3,5545,0x3a8437e3a7e0,1036,"RecordWriteStub"
code-creation,Stub,3,5555,0x3a8437e3ac00,2302,"RecordWriteStub"
code-creation,Stub,17,5561,0x3a8437e3b500,272,"BinaryOpICStub"
code-creation,Handler,4,5567,0x3a8437e3b620,776,"An IC handler from the snapshot"
code-creation,Stub,17,5573,0x3a8437e3b940,300,"BinaryOpICStub"
code-creation,Stub,3,5579,0x3a8437e3ba80,1051,"CallICStub"
code-creation,Stub,3,5585,0x3a8437e3bea0,498,"ArrayConstructorStub"
code-creation,Stub,3,5592,0x3a8437e3c0a0,375,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,5598,0x3a8437e3c220,331,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,5608,0x3a8437e3c380,331,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,5614,0x3a8437e3c4e0,153,"Abort"
code-creation,Stub,3,5621,0x3a8437e3c580,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,5628,0x3a8437e3c760,455,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,5635,0x3a8437e3c940,331,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,5641,0x3a8437e3caa0,2286,"RecordWriteStub"
code-creation,Stub,3,5647,0x3a8437e3d3a0,1012,"RecordWriteStub"
code-creation,Stub,17,5652,0x3a8437e3d7a0,272,"BinaryOpICStub"
code-creation,Stub,3,5658,0x3a8437e3d8c0,2349,"RecordWriteStub"
code-creation,Stub,17,5664,0x3a8437e3e200,300,"BinaryOpICStub"
code-creation,Stub,3,5670,0x3a8437e3e340,2282,"RecordWriteStub"
code-creation,Stub,3,5676,0x3a8437e3ec40,2323,"RecordWriteStub"
code-creation,Stub,3,5681,0x3a8437e3f560,1444,"RecordWriteStub"
code-creation,Stub,17,5687,0x3a8437e3fb20,304,"BinaryOpICStub"
code-creation,Stub,3,5693,0x3a8437e3fc60,2298,"RecordWriteStub"
code-creation,Stub,3,5698,0x3a8437e40560,1444,"RecordWriteStub"
code-creation,Stub,17,5705,0x3a8437e40b20,240,"BinaryOpICStub"
code-creation,Stub,3,5712,0x3a8437e40c20,327,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,17,5718,0x3a8437e40d80,228,"BinaryOpICStub"
code-creation,Stub,3,5725,0x3a8437e40e80,1034,"RecordWriteStub"
code-creation,Stub,3,5732,0x3a8437e412a0,1004,"RecordWriteStub"
code-creation,Stub,3,5738,0x3a8437e416a0,2286,"RecordWriteStub"
code-creation,Stub,17,5743,0x3a8437e41fa0,228,"BinaryOpICStub"
code-creation,Stub,17,5750,0x3a8437e420a0,228,"BinaryOpICStub"
code-creation,Stub,3,5756,0x3a8437e421a0,2316,"RecordWriteStub"
